    (0,0)  (1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)   (2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
(-1.35,0)     (0,0) (-1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)  (1.35,0)     (0,0)  (1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)   (2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0) (-1.35,0)     (0,0) (-1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0)     (0,0)  (1.35,0)     (0,0)  (1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)   (2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0)     (0,0)     (0,0) (-1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0) (-1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)   (2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
 (-2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)  (1.35,0)     (0,0)  (1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0) (-1.35,0)     (0,0) (-1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)   (2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
    (0,0)     (0,0)  (-2.7,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)  (1.35,0)     (0,0)  (1.35,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)     (0,0)
