0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
78 0.0391851 -0.142305     -27.4983 77.5715      -27.5489 77.5744
79 0.0548545 -0.145665     -6.8442 84.4424      -6.87191 84.471
80 0.0710276 -0.144824     15.5997 82.5602      15.6068 82.5997
81 0.0859566 -0.139837     35.6014 71.5856      35.6458 71.6162
82 0.0980333 -0.131577     49.0665 53.3195      49.1393 53.3224
83 0.106184 -0.1216     53.133 31.4387      53.2165 31.4023
84 0.11016 -0.111827     47.0094 10.6787      47.0817 10.6022
85 0.110634 -0.104101     32.2855 -4.32975      32.3275 -4.43536
86 0.10906 -0.0997513     12.6014 -10.242      12.6024 -10.357
87 0.10734 -0.0992796     -7.24933 -5.85507      -7.28802 -5.95746
88 0.107374 -0.102252     -22.528 7.61249      -22.5938 7.54079
89 0.110619 -0.107423     -29.7226 26.8943      -29.7959 26.8618
90 0.117777 -0.113062     -27.3512 47.5791      -27.4111 47.5828
91 0.128684 -0.117369     -16.1833 65.2665      -16.2146 65.2933
92 0.14242 -0.118885     1.14674 76.6337      1.14999 76.6652
93 0.157589 -0.116769     20.9806 80.12      21.0139 80.1386
94 0.17268 -0.110904     39.6522 76.073      39.7031 76.0669
95 0.18641 -0.101801     54.373 66.3723      54.4257 66.3385
96 0.197944 -0.0903788     63.7531 53.7055      63.7941 53.6492
97 0.20698 -0.0776777     67.8627 40.7498      67.8839 40.682
98 0.213671 -0.0646093     67.8869 29.5102      67.8879 29.4433
99 0.21846 -0.0517948     65.5485 20.9788      65.5349 20.9221
100 0.221882 -0.0395213     62.5096 15.1531      62.4901 15.111
101 0.224397 -0.0277996     59.937 11.3347      59.9204 11.3058
102 0.226296 -0.0164802     58.3277 8.5552      58.3195 8.53435
103 0.227693 -0.00537927     57.5871 5.96648      57.5887 5.94711
104 0.228569 0.00563067     57.2735 3.07875      57.2826 3.05555
105 0.228853 0.0165815     56.8848 -0.192613      56.897 -0.222149
106 0.228486 0.0274215     56.0778 -3.63684      56.089 -3.67221
107 0.227467 0.0380569     54.7629 -6.93266      54.7702 -6.9713
108 0.225852 0.0483999     53.0716 -9.82021      53.0746 -9.85898
109 0.223732 0.0584009     51.246 -12.1988      51.2462 -12.2354
110 0.221201 0.0680575     49.5143 -14.1333      49.5138 -14.1668
111 0.218329 0.0774023     48.0039 -15.7907      48.0047 -15.8218
112 0.215152 0.0864803     46.7196 -17.3525      46.7224 -17.3826
113 0.211673 0.0953277     45.5755 -18.9436      45.5802 -18.9742
114 0.207883 0.10396     44.4556 -20.6043      44.4614 -20.6362
115 0.20377 0.112372     43.2684 -22.3038      43.274 -22.337
116 0.199331 0.120547     41.9739 -23.9789      41.9787 -24.0128
117 0.194579 0.128463     40.5801 -25.5731      40.5841 -25.607
118 0.189531 0.136105     39.1197 -27.0591      39.1232 -27.0924
119 0.184208 0.143463     37.6228 -28.4376      37.6264 -28.4703
120 0.178631 0.150531     36.1025 -29.7226      36.1067 -29.755
121 0.172816 0.157306     34.5559 -30.9229      34.5606 -30.9554
122 0.166778 0.163781     32.9768 -32.0327      32.9817 -32.0656
123 0.160538 0.169951     31.3694 -33.0358      31.3743 -33.0691
124 0.154117 0.175811     29.7553 -33.9175      29.7597 -33.951
125 0.147538 0.181364     28.1672 -34.6786      28.1712 -34.7119
126 0.140824 0.186617     26.6366 -35.3408      26.6404 -35.3737
127 0.133989 0.191583     25.1787 -35.9423      25.1827 -35.9746
128 0.127042 0.196277     23.7858 -36.524      23.7902 -36.5561
129 0.119982 0.200707     22.4294 -37.1157      22.4343 -37.1478
130 0.112807 0.204878     21.0712 -37.7259      21.0766 -37.7582
131 0.105514 0.208786     19.6774 -38.3414      19.6829 -38.3741
132 0.0981046 0.212421     18.229 -38.9354      18.2345 -38.9684
133 0.0905856 0.215773     16.7248 -39.4784      16.73 -39.5115
134 0.0829694 0.218832     15.1773 -39.9481      15.1824 -39.9812
135 0.075271 0.221592     13.6049 -40.3336      13.61 -40.3665
136 0.0675071 0.224049     12.0246 -40.6331      12.0298 -40.6659
137 0.0596937 0.226203     10.4489 -40.8497      10.4543 -40.8825
138 0.0518465 0.228057     8.88759 -40.9868      8.89308 -41.0197
139 0.0439803 0.229613     7.35056 -41.0479      7.35604 -41.0809
140 0.0361092 0.230878     5.84978 -41.0397      5.85512 -41.0728
141 0.0282452 0.23186     4.39665 -40.9756      4.40184 -41.0085
142 0.0203974 0.232568     2.99613 -40.8769      3.00131 -40.9095
143 0.0125699 0.233011     1.64061 -40.7677      1.64603 -40.8
144 0.00476284 0.233198     0.308091 -40.6662      0.313972 -40.6984
145 -0.00302587 0.233129     -1.03241 -40.5751      -1.02601 -40.6075
146 -0.010797 0.2328     -2.40906 -40.4773      -2.40234 -40.5102
147 -0.0185463 0.232202     -3.83391 -40.341      -3.82728 -40.3745
148 -0.0262632 0.231328     -5.29529 -40.1342      -5.28921 -40.1682
149 -0.0339325 0.230171     -6.76235 -39.8429      -6.75711 -39.8767
150 -0.0415387 0.228736     -8.20304 -39.4832      -8.19853 -39.5163
151 -0.0490725 0.227027     -9.61009 -39.0992      -9.6057 -39.131
152 -0.0565342 0.225049     -11.0232 -38.74      -11.018 -38.7705
153 -0.063931 0.222793     -12.5333 -38.4215      -12.5263 -38.4512
154 -0.0712666 0.220229     -14.259 -38.0857      -14.2496 -38.1157
155 -0.0785247 0.217306     -16.2942 -37.5767      -16.2826 -37.6086
156 -0.0856503 0.213962     -18.6399 -36.6526      -18.6274 -36.6878
157 -0.0925377 0.21015     -21.1437 -35.0419      -21.1323 -35.0808
