0 -4.4617e-07 -0.0262353     -0.0527746 -0.000952243      -0.053995 -0.0338225
722 -0.0548068 -0.152653     -196.123 5.92176      -196.174 5.72793
723 -0.0464839 -0.191889     -208.06 83.3618      -208.191 83.2283
724 -0.0224336 -0.230463     -188.146 167.655      -188.32 167.618
725 0.0173415 -0.26191     -133.807 244.676      -133.972 244.747
726 0.070027 -0.279901     -49.1013 299.802      -49.2041 299.966
727 0.130209 -0.279511     55.5633 321.119      55.5606 321.336
728 0.190673 -0.258288     165.254 302.165      165.365 302.38
729 0.24362 -0.216852     263.471 243.475      263.679 243.635
730 0.282038 -0.158875     335.488 152.538      335.755 152.606
731 0.300903 -0.0904463     371.24 42.1813      371.514 42.1439
732 0.297954 -0.0189905     367.056 -72.1672      367.289 -72.2964
733 0.273893 0.0480095     325.883 -175.593      326.04 -175.78
734 0.232009 0.104186     256.064 -256.42      256.135 -256.62
735 0.177376 0.145121     169.114 -307.926      169.107 -308.1
736 0.115832 0.168702     77.1306 -328.776      77.0748 -328.896
737 0.0530106 0.175012     -9.47025 -322.237      -9.54174 -322.293
738 -0.00640744 0.16584     -83.4396 -294.593      -83.4963 -294.593
739 -0.059085 0.144017     -141.177 -253.26      -141.199 -253.224
740 -0.103082 0.112737     -182.315 -205.137      -182.297 -205.088
741 -0.137638 0.0750311     -208.715 -155.519      -208.662 -155.478
742 -0.16282 0.0334525     -223.271 -107.72      -223.196 -107.699
743 -0.179151 -0.0100143     -228.88 -63.2817      -228.799 -63.2833
744 -0.187321 -0.0538864     -227.806 -22.5595      -227.731 -22.579
745 -0.188029 -0.097035     -221.488 14.6061      -221.426 14.5779
746 -0.18194 -0.138538     -210.708 48.3577      -210.657 48.3304
747 -0.169714 -0.177586     -195.943 78.5581      -195.899 78.5383
748 -0.152066 -0.213463     -177.726 104.808      -177.682 104.797
749 -0.129799 -0.245576     -156.851 126.657      -156.8 126.653
750 -0.103786 -0.273512     -134.369 143.876      -134.309 143.873
751 -0.0749043 -0.297072     -111.4 156.639      -111.332 156.63
752 -0.0439605 -0.316256     -88.8577 165.532      -88.7877 165.512
753 -0.0116207 -0.331201     -67.2164 171.358      -67.1526 171.327
754 0.0215986 -0.342087     -46.459 174.811      -46.4087 174.774
755 0.055278 -0.349055     -26.2648 176.153      -26.2308 176.122
756 0.0889936 -0.352187     -6.41031 175.069      -6.38789 175.055
757 0.122215 -0.351567     12.7537 170.818      12.7768 170.829
758 0.154265 -0.347429     29.9639 162.736      30.0047 162.771
759 0.184402 -0.340341     43.0686 150.955      43.1434 151.002
760 0.212042 -0.331329     49.556 137.111      49.6732 137.149
761 0.23709 -0.321859     47.5573 124.698      47.7111 124.7
762 0.260282 -0.313602     37.0877 118.769      37.2562 118.713
763 0.283393 -0.307954     21.1112 124.864      21.2598 124.741
764 0.309176 -0.305426     5.95336 147.278      6.04365 147.102
765 0.340936 -0.30503     0.688243 187.1      0.690804 186.904
766 0.381749 -0.303903     15.3975 240.621      15.3039 240.454
767 0.433463 -0.297352     58.569 298.761      58.399 298.675
768 0.49573 -0.279432     134.257 347.954      134.057 347.985
769 0.565343 -0.244032     239.833 372.526      239.666 372.683
770 0.636156 -0.186265     365.108 358.167      365.037 358.424
771 0.699702 -0.103864     493.328 295.639      493.395 295.941
772 0.746472 0.00180605     603.998 183.735      604.215 184.008
773 0.767613 0.125407     676.99 30.5687      677.327 30.7423
774 0.756673 0.258122     696.924 -147.299      697.319 -147.272
775 0.710969 0.388931     656.695 -327.795      657.071 -327.925
776 0.632248 0.506398     559.191 -487.663      559.477 -487.921
777 0.526462 0.600575     416.742 -607.104      416.891 -607.43
778 0.402718 0.664592     248.445 -673.562      248.445 -673.881
779 0.271659 0.695576     76.088 -683.725      75.9663 -683.972
780 0.14367 0.694743     -80.2285 -643.361      -80.418 -643.491
781 0.027314 0.666706     -205.703 -565.167      -205.896 -565.173
782 -0.071687 0.61823     -292.85 -465.369      -292.99 -465.273
783 -0.150767 0.55679     -341.626 -360.032      -341.68 -359.878
784 -0.210177 0.48926     -357.901 -262.039      -357.863 -261.877
785 -0.252184 0.421016     -350.914 -179.363      -350.801 -179.236
786 -0.280079 0.355557     -330.539 -114.832      -330.386 -114.763
787 -0.297272 0.294609     -305.085 -67.1306      -304.927 -67.1208
788 -0.306651 0.23856     -280.075 -32.4999      -279.938 -32.5355
789 -0.310294 0.187033     -258.072 -6.52021      -257.97 -6.57807
790 -0.30948 0.139397     -239.324 14.5347      -239.256 14.477
791 -0.304899 0.0951151     -222.796 33.0187      -222.751 32.9762
792 -0.29693 0.0538941     -207.172 49.8965      -207.135 49.874
793 -0.28587 0.0156604     -191.532 65.1715      -191.49 65.1653
794 -0.272063 -0.0195437     -175.592 78.4648      -175.539 78.4665
795 -0.255921 -0.0516768     -159.591 89.4895      -159.528 89.4907
796 -0.237884 -0.0807713     -143.993 98.2833      -143.924 98.2788
797 -0.218349 -0.106946     -129.188 105.195      -129.118 105.184
798 -0.197631 -0.130372     -115.322 110.718      -115.256 110.703
799 -0.175951 -0.151223     -102.293 115.291      -102.232 115.276
800 -0.153464 -0.169638     -89.8545 119.172      -89.797 119.159
801 -0.130292 -0.185705     -77.7646 122.416      -77.7078 122.407
802 -0.106563 -0.199476     -65.8878 124.952      -65.8294 124.945
803 -0.0824244 -0.210988     -54.2253 126.68      -54.1642 126.675
804 -0.0580352 -0.220291     -42.8739 127.564      -42.8103 127.558
805 -0.0335538 -0.227456     -31.9506 127.66      -31.8858 127.653
806 -0.00912017 -0.232575     -21.5264 127.094      -21.462 127.085
807 0.0151526 -0.235743     -11.5969 126.007      -11.5337 125.997
808 0.0391758 -0.237049     -2.09438 124.504      -2.03259 124.495
809 0.0628747 -0.236568     7.07075 122.625      7.13168 122.616
810 0.086176 -0.234355     15.9655 120.348      16.0265 120.341
811 0.108999 -0.230462     24.6054 117.625      24.6673 117.619
812 0.131254 -0.224938     32.9521 114.415      33.0152 114.41
813 0.152846 -0.217848     40.9346 110.722      40.9989 110.717
814 0.173688 -0.209267     48.485 106.597      48.55 106.591
815 0.193704 -0.199283     55.5708 102.131      55.6358 102.124
816 0.212839 -0.187984     62.2144 97.4215      62.2785 97.4132
817 0.231053 -0.175448     68.4875 92.5331      68.5501 92.5249
818 0.248313 -0.161737     74.4827 87.4721      74.5439 87.465
819 0.264583 -0.146898     80.2691 82.1786      80.3296 82.1736
820 0.279807 -0.130969     85.8485 76.5535      85.9098 76.5511
821 0.293915 -0.113995     91.135 70.5143      91.1987 70.5138
822 0.306824 -0.0960472     95.9771 64.0615      96.0445 64.0611
823 0.318465 -0.0772249     100.229 57.3265      100.3 57.3236
824 0.328807 -0.0576476     103.857 50.5646      103.93 50.5566
825 0.337872 -0.0374223     107.038 44.0694      107.109 44.0552
826 0.345733 -0.0165983     110.202 38.0141      110.266 37.9952
827 0.352465 0.00487724     113.959 32.2607      114.013 32.2414
828 0.358081 0.0271766     118.898 26.2123      118.941 26.1992
829 0.362427 0.0505597     125.28 18.7971      125.316 18.7972
830 0.365116 0.0752797     132.718 8.64705      132.754 8.66495
831 0.365493 0.101435     139.96 -5.52065      140.007 -5.48531
832 0.362709 0.128802     144.91 -24.3904      144.977 -24.344
833 0.35588 0.156694     144.94 -47.5462      145.033 -47.5005
834 0.344332 0.183917     137.499 -73.1611      137.617 -73.1303
835 0.32788 0.208854     120.874 -98.0325      121.007 -98.0293
836 0.307049 0.229696     94.9108 -118.039      95.0435 -118.07
837 0.283183 0.244793     61.4537 -128.964      61.5682 -129.027
838 0.258364 0.253043     24.3268 -127.513      24.4082 -127.595
839 0.23514 0.254228     -11.2135 -112.247      -11.1726 -112.33
840 0.21611 0.2492     -39.4649 -84.1771      -39.4614 -84.2416
841 0.203434 0.239856     -55.4805 -46.8074      -55.5014 -46.8364
842 0.198398 0.228876     -56.1781 -5.57612      -56.2036 -5.56189
843 0.201141 0.219295     -41.0628 33.1826      -41.0718 33.237
844 0.2106 0.213974     -12.366 63.5092      -12.3421 63.5908
845 0.2247 0.215121     25.4359 80.9971      25.5004 81.0867
846 0.240736 0.223942     66.5914 83.5868      66.6939 83.6647
847 0.255859 0.240511     105.271 71.7969      105.4 71.848
848 0.267541 0.263867     136.685 48.3708      136.824 48.3882
849 0.273936 0.292296     157.858 17.4764      157.989 17.4624
850 0.274054 0.323713     167.905 -16.2997      168.016 -16.3356
851 0.267749 0.356052     167.814 -48.8939      167.9 -48.9383
852 0.255548 0.387572     159.857 -77.4234      159.919 -77.4632
853 0.238395 0.417031     146.837 -100.449      146.883 -100.475
854 0.217376 0.443721     131.388 -117.854      131.428 -117.863
855 0.193502 0.467381     115.497 -130.449      115.54 -130.443
856 0.167578 0.488051     100.307 -139.472      100.359 -139.456
857 0.140169 0.505912     86.1974 -146.132      86.2592 -146.112
858 0.111635 0.521165     73.0286 -151.319      73.0989 -151.301
859 0.0822065 0.533956     60.4478 -155.505      60.5226 -155.493
860 0.0520581 0.544365     48.1386 -158.812      48.2136 -158.806
861 0.0213636 0.552427     35.9562 -161.173      36.0285 -161.17
862 -0.00968517 0.558166     23.9408 -162.493      24.0093 -162.491
863 -0.0408858 0.561629     12.2426 -162.766      12.3082 -162.762
864 -0.0720457 0.562891     1.01763 -162.098      1.0822 -162.091
865 -0.103001 0.562053     -9.65183 -160.671      -9.58642 -160.661
866 -0.133624 0.559223     -19.7825 -158.662      -19.7152 -158.652
867 -0.163817 0.554496     -29.4591 -156.188      -29.3901 -156.178
868 -0.193493 0.547949     -38.7732 -153.278      -38.7038 -153.269
869 -0.222568 0.539648     -47.7671 -149.899      -47.6987 -149.892
870 -0.250947 0.529654     -56.4115 -146.013      -56.3452 -146.006
871 -0.278532 0.518041     -64.6277 -141.628      -64.5634 -141.619
872 -0.305234 0.504901     -72.3392 -136.819      -72.276 -136.809
873 -0.330982 0.490332     -79.5248 -131.711      -79.461 -131.698
874 -0.355732 0.474433     -86.2404 -126.418      -86.1746 -126.403
875 -0.379454 0.457283     -92.5957 -120.992      -92.5279 -120.977
876 -0.40212 0.43894     -98.694 -115.395      -98.6251 -115.382
877 -0.423689 0.41945     -104.566 -109.525      -104.498 -109.514
878 -0.4441 0.39886     -110.137 -103.288      -110.072 -103.278
879 -0.463277 0.377241     -115.256 -96.6785      -115.195 -96.6671
880 -0.481161 0.354696     -119.781 -89.8241      -119.722 -89.8084
881 -0.497724 0.331344     -123.684 -82.956      -123.624 -82.935
882 -0.512986 0.307293     -127.114 -76.3059      -127.049 -76.2808
883 -0.527004 0.282607     -130.373 -69.967      -130.302 -69.9417
884 -0.539827 0.257287     -133.792 -63.7962      -133.715 -63.7758
885 -0.551457 0.231281     -137.536 -57.429      -137.459 -57.4172
886 -0.561813 0.204534     -141.461 -50.4387      -141.39 -50.4352
887 -0.57075 0.177051     -145.1 -42.5973      -145.042 -42.5965
888 -0.578114 0.148942     -147.858 -34.1244      -147.814 -34.1167
889 -0.583847 0.120419     -149.395 -25.77      -149.36 -25.7447
890 -0.58807 0.091697     -150.05 -18.606      -150.012 -18.5563
891 -0.591104 0.0628403     -151.123 -13.5014      -151.065 -13.4293
892 -0.59336 0.0335758     -154.766 -10.402      -154.672 -10.3206
893 -0.595098 0.00317882     -163.387 -7.672      -163.251 -7.60399
894 -0.596088 -0.0294835     -178.613 -1.82266      -178.443 -1.79402
895 -0.595279 -0.0656852     -200.059 12.0977      -199.879 12.0662
896 -0.590612 -0.106352     -224.333 39.352      -224.175 39.254
897 -0.579126 -0.151441     -244.72 83.7628      -244.623 83.6118
898 -0.557414 -0.199349     -251.891 145.783      -251.883 145.613
899 -0.522432 -0.246565     -235.689 220.98      -235.777 220.839
900 -0.472501 -0.287752     -187.716 299.531      -187.882 299.467
901 -0.408286 -0.316348     -104.139 367.111      -104.34 367.161
902 -0.333457 -0.325683     12.063 407.227      11.8856 407.403
903 -0.254795 -0.310397     150.124 404.613      150.032 404.898
904 -0.181595 -0.267895     292.27 348.967      292.31 349.312
905 -0.124396 -0.199476     416.284 238.107      416.479 238.447
906 -0.0932209 -0.11082     499.457 79.7233      499.793 79.986
907 -0.0956772 -0.0116568     523.104 -108.861      523.538 -108.735
908 -0.13529 0.0854213     476.678 -303.002      477.143 -303.045
909 -0.210464 0.16681     360.517 -474.759      360.937 -474.973
910 -0.314315 0.220088     186.569 -597.843      186.877 -598.195
911 -0.435466 0.236141     -23.1243 -652.487      -22.9757 -652.92
912 -0.559689 0.210782     -239.952 -629.241      -239.98 -629.681
913 -0.672101 0.145567     -433.579 -530.907      -433.769 -531.284
914 -0.759531 0.0476186     -577.195 -372.25      -577.501 -372.505
915 -0.812605 -0.0715122     -652.139 -177.498      -652.499 -177.599
916 -0.827181 -0.197743     -651.057 23.8542      -651.401 23.9099
917 -0.804879 -0.316769     -578.996 202.164      -579.258 202.349
918 -0.752612 -0.416374     -452.254 332.708      -452.389 332.969
919 -0.681227 -0.48831     -295.25 399.764      -295.239 400.033
920 -0.603521 -0.529444     -136.012 398.967      -135.867 399.179
921 -0.532 -0.541968     -1.17337 337.544      -0.933575 337.642
922 -0.476804 -0.532681     88.5745 232.428      88.8505 232.378
923 -0.444164 -0.51151     121.717 106.702      121.964 106.5
924 -0.435648 -0.489582     97.2737 -14.8806      97.4312 -15.2106
925 -0.448269 -0.477243     24.1088 -110.369      24.1357 -110.784
926 -0.475398 -0.482373     -81.5364 -164.208      -81.6573 -164.651
927 -0.508214 -0.509311     -199.662 -169.278      -199.923 -169.699
928 -0.537373 -0.558509     -310.442 -127.134      -310.815 -127.494
929 -0.554561 -0.626915     -397.629 -46.5579      -398.076 -46.8391
930 -0.553644 -0.708891     -450.787 59.053      -451.274 58.8485
931 -0.531258 -0.79743     -466.058 174.757      -466.56 174.612
932 -0.486823 -0.885377     -445.51 286.871      -446.022 286.761
933 -0.422099 -0.96642     -395.485 384.952      -396.014 384.857
934 -0.340456 -1.03571     -324.486 462.679      -325.051 462.589
935 -0.246084 -1.09006     -241.202 517.691      -241.826 517.611
936 -0.143312 -1.12788     -153.069 550.677      -153.769 550.622
937 -0.0361427 -1.14878     -65.5761 564.131      -66.3614 564.127
938 0.0719809 -1.15328     17.7456 561.196      16.8797 561.269
939 0.178211 -1.14236     94.8805 544.854      93.9479 545.026
940 0.280226 -1.11735     164.717 517.571      163.737 517.857
941 0.376121 -1.07971     226.528 481.319      225.523 481.724
942 0.464344 -1.03103     279.692 437.805      278.681 438.329
943 0.543662 -0.973032     323.657 388.718      322.654 389.357
944 0.613175 -0.907516     358.071 335.848      357.086 336.598
945 0.672334 -0.836319     382.939 281.049      381.981 281.906
946 0.720941 -0.761239     398.699 226.073      397.777 227.035
947 0.75911 -0.683949     406.161 172.383      405.283 173.449
948 0.787195 -0.605945     406.327 121.037      405.507 122.204
949 0.805717 -0.528529     400.188 72.7077      399.44 73.9696
950 0.815297 -0.452826     388.576 27.8179      387.912 29.1641
951 0.81663 -0.379821     372.139 -13.264      371.568 -11.8482
952 0.810485 -0.310382     351.466 -50.0735      350.992 -48.6043
953 0.797736 -0.245256     327.29 -82.0289      326.912 -80.522
954 0.779369 -0.18502     300.675 -108.58      300.386 -107.047
955 0.756451 -0.13001     273.065 -129.488      272.858 -127.936
956 0.730039 -0.0802594     246.128 -145.143      245.997 -143.573
957 0.701039 -0.0354885     221.375 -156.759      221.321 -155.168
958 0.670049 0.00481876     199.654 -166.328      199.681 -164.715
959 0.637234 0.0412383     180.667 -176.248      180.788 -174.617
960 0.60231 0.0741575     162.721 -188.667      162.951 -187.03
961 0.564669 0.103513     142.87 -204.685      143.22 -203.068
962 0.523647 0.128599     117.506 -223.651      117.975 -222.088
963 0.478906 0.148028     83.3325 -242.819      83.9069 -241.351
964 0.430822 0.1599     38.5045 -257.55      39.1501 -256.211
965 0.380784 0.16218     -16.4022 -262.121      -15.7361 -260.935
966 0.331284 0.153217     -77.8923 -251.019      -77.2671 -249.989
967 0.285735 0.132302     -139.764 -220.42      -139.242 -219.524
968 0.248017 0.100104     -194.07 -169.463      -193.704 -168.658
969 0.221833 0.0588648     -232.665 -100.945      -232.49 -100.167
970 0.209999 0.0122707     -248.966 -21.1723      -248.992 -20.3512
971 0.21386 -0.0350053     -239.483 61.0317      -239.697 61.9643
972 0.232952 -0.0779949     -204.718 135.981      -205.086 137.083
973 0.265019 -0.112216     -149.153 195.02      -149.628 196.332
974 0.306381 -0.134364     -80.3495 232.191      -80.8804 233.736
975 0.352561 -0.14276     -7.38195 245.252      -7.92021 247.039
976 0.399029 -0.137469     60.9853 235.827      60.4822 237.855
977 0.441887 -0.120075     117.905 208.696      117.472 210.955
978 0.478357 -0.0932024     159.466 170.461      159.134 172.943
979 0.506978 -0.0599209     184.935 128.003      184.73 130.697
980 0.527526 -0.0231672     196.257 87.1155      196.204 90.0119
981 0.540709 0.0146759     197.056 51.6362      197.182 54.7217
982 0.54776 0.0519904     191.472 23.2091      191.802 26.4667
983 0.550034 0.087919     183.157 1.60681      183.713 5.01527
984 0.548716 0.122206     174.666 -14.5921      175.465 -11.0573
985 0.544666 0.154963     167.292 -27.2399      168.345 -23.604
986 0.538396 0.186442     161.28 -38.001      162.594 -34.288
987 0.530147 0.216873     156.237 -48.0097      157.815 -44.2404
988 0.520002 0.246383     151.56 -57.8125      153.403 -54.0042
989 0.507985 0.274988     146.734 -67.5107      148.847 -63.6783
990 0.494127 0.302628     141.47 -76.9784      143.856 -73.1362
991 0.478489 0.329209     135.682 -86.048      138.348 -82.2114
992 0.46116 0.354631     129.407 -94.6073      132.359 -90.7941
993 0.442243 0.378809     122.72 -102.615      125.964 -98.8454
994 0.421842 0.401671     115.687 -110.075      119.226 -106.37
995 0.400063 0.423156     108.364 -117.011      112.197 -113.391
996 0.377 0.443212     100.795 -123.468      104.923 -119.953
997 0.352739 0.461796     93.0028 -129.52      97.4247 -126.132
998 0.327349 0.478861     84.9478 -135.268      89.6623 -132.028
999 0.30088 0.494346     76.4954 -140.785      81.5009 -137.716
1000 0.273377 0.508157     67.4246 -146.039      72.7172 -143.166
1001 0.244908 0.520151     57.5072 -150.81      63.0784 -148.163
1002 0.2156 0.530153     46.6463 -154.686      52.4818 -152.291
1003 0.185676 0.537994     35.023 -157.144      41.1025 -155.028
1004 0.155451 0.543573     23.1715 -157.754      29.4711 -155.935
1005 0.125298 0.546919     11.9173 -156.41      18.4132 -154.899
1006 0.0955621 0.548236     2.15886 -153.518      8.83142 -152.321
1007 0.0664589 0.547878     -5.45781 -150.03      1.37855 -149.153
1008 0.0379794 0.546276     -10.8644 -147.274      -3.86992 -146.724
1009 0.00985145 0.5438     -14.767 -146.595      -7.61567 -146.387
1010 -0.0184229 0.540611     -18.6193 -148.919      -11.3136 -149.08
1011 -0.0474481 0.536539     -24.3536 -154.372      -16.9037 -154.941
1012 -0.0777591 0.53103     -33.9373 -162.09      -26.367 -163.111
1013 -0.109632 0.52319     -48.8887 -170.272      -41.2394 -171.796
1014 -0.142928 0.511905     -69.895 -176.473      -62.2275 -178.542
1015 -0.177011 0.49603     -96.6254 -178.002      -89.0191 -180.65
1016 -0.210735 0.474578     -127.746 -172.324      -120.297 -175.566
1017 -0.242509 0.446907     -161.063 -157.345      -153.881 -161.174
1018 -0.270396 0.412863     -193.681 -131.591      -186.887 -135.973
1019 -0.292249 0.372905     -222.102 -94.3371      -215.82 -99.1977
1020 -0.305867 0.328219     -242.279 -45.8046      -236.627 -51.0261
1021 -0.309209 0.280806     -249.727 12.4946      -244.797 7.08103
1022 -0.300681 0.233549     -239.866 77.3051      -235.704 71.9181
1023 -0.279513 0.19016     -208.732 143.235      -205.31 138.131
1024 -0.246181 0.154976     -154.042 202.693      -151.235 198.139
1025 -0.20279 0.132509     -76.4403 246.424      -74.0124 242.66
1026 -0.153285 0.126786     19.4609 264.77      21.8518 261.958
1027 -0.103358 0.140529     124.67 249.562      127.445 247.742
1028 -0.0599576 0.174353     226.403 196.26      230.014 195.311
1029 -0.0304048 0.226186     309.787 105.776      314.651 105.401
1030 -0.0212439 0.2911     360.45 -14.6163      366.878 -14.8724
1031 -0.0370365 0.361689     367.46 -151.715      375.598 -152.424
1032 -0.0793797 0.42899     325.887 -288.259      335.674 -290.037
1033 -0.146399 0.483797     238.254 -405.902      249.416 -409.332
1034 -0.232865 0.518105     114.438 -488.636      126.515 -494.19
1035 -0.330951 0.52639     -30.0433 -525.822      -17.6457 -533.801
1036 -0.431465 0.506419     -176.976 -514.073      -164.913 -524.574
1037 -0.525297 0.459441     -308.89 -457.539      -297.803 -470.457
1038 -0.604767 0.389733     -412.157 -366.582      -402.607 -381.634
1039 -0.664585 0.303642     -479.019 -255.249      -471.439 -272.025
1040 -0.702272 0.208384     -508.16 -138.255      -502.836 -156.275
1041 -0.718012 0.110865     -503.841 -28.2477      -500.914 -47.0131
1042 -0.714063 0.0167794     -474.008 66.0387      -473.489 47.0006
1043 -0.693916 -0.0698732     -427.979 140.427      -429.783 121.535
1044 -0.661458 -0.146843     -374.361 194.814      -378.337 176.42
1045 -0.620297 -0.213343     -319.658 231.912      -325.614 214.301
1046 -0.573371 -0.269584     -267.752 255.71      -275.478 239.106
1047 -0.522842 -0.316284     -220.171 270.13      -229.45 254.706
1048 -0.470198 -0.354283     -176.845 278.17      -187.461 264.055
1049 -0.416468 -0.384326     -137.001 281.625      -148.742 268.916
1050 -0.362444 -0.407     -99.8766 281.285      -112.536 270.047
1051 -0.308827 -0.422783     -65.111 277.365      -78.4899 267.638
1052 -0.256297 -0.432129     -32.7948 269.958      -46.7024 261.756
1053 -0.205503 -0.43554     -3.29071 259.328      -17.547 252.647
1054 -0.157017 -0.433593     23.0197 246.003      8.58322 240.82
1055 -0.111289 -0.426926     45.934 230.689      31.4735 226.965
1056 -0.068631 -0.41619     65.5024 214.111      51.1618 211.795
1057 -0.0292236 -0.402003     81.9816 196.864      67.8923 195.893
1058 0.00684602 -0.384925     95.7195 179.343      82.001 179.646
1059 0.0395488 -0.365451     107.038 161.765      93.7972 163.263
1060 0.0688851 -0.344018     116.16 144.238      103.493 146.845
1061 0.0948732 -0.321037     123.21 126.857      111.2 130.482
1062 0.117553 -0.296896     128.254 109.765      116.97 114.311
1063 0.136999 -0.271975     131.368 93.1636      120.867 98.534
1064 0.153327 -0.246631     132.695 77.2886      123.022 83.385
1065 0.166698 -0.221186     132.459 62.3502      123.648 69.0763
1066 0.177305 -0.195914     130.949 48.4803      123.022 55.7429
1067 0.185359 -0.171031     128.459 35.7034      121.433 43.4126
1068 0.191062 -0.146699     125.238 23.945      119.121 32.0145
1069 0.194599 -0.123041     121.432 13.0787      116.227 21.4245
1070 0.196129 -0.100166     117.083 2.99492      112.789 11.5349
1071 0.195797 -0.078177     112.163 -6.33195      108.77 2.32166
1072 0.193756 -0.0571882     106.652 -14.8089      104.144 -6.11948
1073 0.190184 -0.0373069     100.635 -22.2471      98.9876 -13.5943
1074 0.185301 -0.0186086     94.3775 -28.4497      93.5591 -19.8978
1075 0.179354 -0.00109876     88.3364 -33.3508      88.3139 -24.9532
1076 0.172578 0.0153173     83.08 -37.161      83.8234 -28.9601
1077 0.165132 0.0308408     79.1077 -40.459      80.5972 -32.4902
1078 0.157034 0.0457436     76.6108 -44.1695      78.8412 -36.4691
1079 0.148099 0.0602863     75.245 -49.3904      78.2259 -42.0077
1080 0.13794 0.0746019     74.0073 -57.0812      77.7556 -50.0903
1081 0.126032 0.0885707     71.2975 -67.6785      75.8227 -61.1874
1082 0.111839 0.10173     65.2025 -80.7507      70.4864 -74.9023
1083 0.09501 0.113255     53.9715 -94.8195      59.9461 -89.7812
1084 0.0755733 0.122046     36.5791 -107.449      43.1093 -103.391
1085 0.0540862 0.126917     13.2207 -115.643      20.0978 -112.707
1086 0.0316861 0.126857     -14.4238 -116.483      -7.47279 -114.746
1087 0.0100034 0.121317     -43.2785 -107.884      -36.5654 -107.331
1088 -0.00906513 0.110439     -69.3465 -89.2562      -63.1812 -89.7584
1089 -0.0236849 0.0951576     -88.4914 -61.8733      -83.1354 -63.1924
1090 -0.0324446 0.077144     -97.3503 -28.8268      -92.9718 -30.6369
1091 -0.0346638 0.0585742     -94.1431 5.48133      -90.7852 3.5518
1092 -0.0305663 0.0417723     -79.1554 36.1982      -76.7254 34.5137
1093 -0.0212711 0.0288044     -54.7469 59.0289      -53.0289 57.8938
1094 -0.00859397 0.0211196     -24.8634 71.1353      -23.5532 70.7513
1095 0.00529133 0.019324     5.82926 71.6842      7.07598 72.1278
1096 0.0182524 0.0231396     32.962 61.8979      34.4779 63.1215
1097 0.028557 0.0315513     53.3531 44.6014      55.4161 46.4547
1098 0.0351062 0.0430932     65.5328 23.4037      68.3394 25.6703
1099 0.0374948 0.0561885     69.7709 1.76397      73.4296 4.19978
1100 0.0359035 0.0694479     67.6293 -17.7802      72.1711 -15.4142
1101 0.0308768 0.0818484     61.2106 -33.995      66.6088 -31.9141
1102 0.0230741 0.0927592     52.3693 -46.8517      58.5598 -45.2427
1103 0.0130815 0.101835     42.1622 -57.0155      49.0552 -56.0426
1104 0.00134544 0.108844     30.7256 -65.1395      38.206 -64.9508
1105 -0.0117619 0.113512     17.6145 -71.2504      25.5342 -71.9773
1106 -0.0257888 0.115477     2.46368 -74.4872      10.6324 -76.2317
1107 -0.0400471 0.114366     -14.3034 -73.3318      -6.1172 -76.1415
1108 -0.0535437 0.110006     -31.0291 -66.2803      -23.0798 -70.1212
1109 -0.065067 0.102656     -44.8779 -52.7315      -37.4046 -57.4679
1110 -0.0734387 0.0931899     -52.4636 -33.7509      -45.638 -39.1486
1111 -0.0778735 0.0831035     -50.9045 -12.3774      -44.7786 -18.1356
1112 -0.0783355 0.0743048     -38.9831 6.73585      -33.4553 0.922652
1113 -0.0757616 0.0687045     -18.0082 18.3361      -12.8217 12.6985
1114 -0.0720431 0.0676972     7.97246 18.0028      13.1875 12.6179
1115 -0.0697248 0.0716789     32.776 3.58168      38.4216 -1.68093
1116 -0.0714651 0.079755     49.4206 -23.8336      55.8252 -29.3223
1117 -0.0793795 0.0897505     51.8645 -59.7246      59.1777 -65.9629
1118 -0.09444 0.0985552     36.668 -96.9021      44.7819 -104.496
1119 -0.116099 0.102742     4.09331 -127.038      12.614 -136.55
1120 -0.142252 0.0993124     -41.6946 -142.584      -33.4149 -154.407
1121 -0.169567 0.0863895     -93.4065 -138.565      -86.1797 -152.815
1122 -0.194104 0.0636751     -142.189 -113.762      -136.862 -130.225
1123 -0.21208 0.0325693     -179.544 -70.9891      -176.858 -89.1261
1124 -0.220595 -0.00407682     -199.116 -16.4198      -199.581 -35.4378
1125 -0.218146 -0.0424995     -197.888 41.8157      -201.7 22.8532
1126 -0.204844 -0.0787142     -176.553 95.3599      -183.572 77.3992
1127 -0.182296 -0.109196     -139.055 137.236      -148.83 121.106
1128 -0.153217 -0.131407     -91.4941 162.969      -103.341 149.28
1129 -0.120899 -0.144077     -40.7666 171.032      -53.8703 160.121
1130 -0.0886564 -0.147233     6.72187 162.643      -6.80206 154.558
1131 -0.0593558 -0.142005     45.9918 141.079      32.8085 135.612
1132 -0.0351077 -0.130297     73.9622 110.786      61.7306 107.525
1133 -0.0171276 -0.114418     89.4899 76.5151      78.6262 74.9191
1134 -0.00574736 -0.0967264     93.1059 42.6412      83.8161 42.1176
1135 -0.000532255 -0.0793501     86.6079 12.733      78.8983 12.7088
1136 -0.000460911 -0.0639858     72.6314 -10.6779      66.3404 -10.6961
1137 -0.00413429 -0.0517764     54.2575 -26.1889      49.1032 -26.5717
1138 -0.00999404 -0.0432595     34.6564 -33.5387      30.2923 -34.5109
1139 -0.0165373 -0.0383845     16.7396 -33.5547      12.814 -35.1941
1140 -0.0225137 -0.0365947     2.81121 -28.0098      -0.979397 -30.2674
