           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)
           (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)
           (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)
(1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0)         (-2.7,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0)         (-2.7,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)         (-2.7,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
(1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0)         (-2.7,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0)         (-2.7,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0) (1.63042e-322,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
           (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)            (0,0)
