-9  1.06316e-10  1.06316e-10
-8.99996  1.07138e-10  1.07138e-10
-8.99989  1.0783e-10  1.0783e-10
-8.99979  1.08479e-10  1.08479e-10
-8.99965  1.08991e-10  1.08991e-10
-8.99948  1.09257e-10  1.09257e-10
-8.99927  1.09232e-10  1.09232e-10
-8.99902  1.0898e-10  1.0898e-10
-8.99875  1.08654e-10  1.08654e-10
-8.99843  1.0842e-10  1.0842e-10
-8.99809  1.08377e-10  1.08377e-10
-8.99771  1.08509e-10  1.08509e-10
-8.99729  1.08694e-10  1.08694e-10
-8.99684  1.08776e-10  1.08776e-10
-8.99635  1.08655e-10  1.08655e-10
-8.99583  1.08339e-10  1.08339e-10
-8.99528  1.07942e-10  1.07942e-10
-8.99469  1.0761e-10  1.0761e-10
-8.99406  1.07438e-10  1.07438e-10
-8.9934  1.07414e-10  1.07414e-10
-8.99271  1.07425e-10  1.07425e-10
-8.99198  1.07326e-10  1.07326e-10
-8.99122  1.0702e-10  1.0702e-10
-8.99042  1.06518e-10  1.06518e-10
-8.98959  1.05932e-10  1.05932e-10
-8.98872  1.05403e-10  1.05403e-10
-8.98782  1.05022e-10  1.05022e-10
-8.98688  1.04772e-10  1.04772e-10
-8.98591  1.04542e-10  1.04542e-10
-8.98491  1.04186e-10  1.04186e-10
-8.98387  1.03613e-10  1.03613e-10
-8.98279  1.02838e-10  1.02838e-10
-8.98168  1.01973e-10  1.01973e-10
-8.98054  1.0116e-10  1.0116e-10
-8.97936  1.00486e-10  1.00486e-10
-8.97814  9.99295e-11  9.99295e-11
-8.9769  9.93753e-11  9.93753e-11
-8.97561  9.8679e-11  9.8679e-11
-8.9743  9.77526e-11  9.77526e-11
-8.97294  9.66153e-11  9.66153e-11
-8.97156  9.53829e-11  9.53829e-11
-8.97014  9.41968e-11  9.41968e-11
-8.96868  9.31403e-11  9.31403e-11
-8.96719  9.21886e-11  9.21886e-11
-8.96567  9.12218e-11  9.12218e-11
-8.96411  9.00952e-11  9.00952e-11
-8.96251  8.87229e-11  8.87229e-11
-8.96088  8.71304e-11  8.71304e-11
-8.95922  8.54358e-11  8.54358e-11
-8.95752  8.3782e-11  8.3782e-11
-8.95579  8.22485e-11  8.22485e-11
-8.95403  8.08061e-11  8.08061e-11
-8.95222  7.93304e-11  7.93304e-11
-8.95039  7.76753e-11  7.76753e-11
-8.94852  7.57591e-11  7.57591e-11
-8.94661  7.36101e-11  7.36101e-11
-8.94467  7.13519e-11  7.13519e-11
